1 2 56 27149 27149
2 194 81 16816 16816
3 585 48 34291 34291
4 350 89 32000 32000
5 823 74 36862 36862
6 174 86 13161 13161
7 710 51 30561 30561
8 304 2 53777 53777
9 92 37 40255 40255
10 148 17 51842 51842
11 988 45 14667 14667
12 119 1 22053 22053
13 9 38 14080 14080
14 532 57 55403 55403
15 602 61 28199 28199
16 167 66 55546 55546
17 451 35 9990 9990
18 57 61 36684 36684
19 783 80 9833 9833
20 520 30 27202 27202
21 876 72 52182 52182
22 955 92 7508 7508
23 539 15 50315 50315
24 462 24 19729 19729
25 862 21 16556 16556
26 779 84 43964 43964
27 996 99 25835 25835
28 611 39 15275 15275
29 266 30 36831 36831
30 840 3 35621 35621
31 376 10 27904 27904
32 677 6 28650 28650
33 9 91 35301 35301
34 276 28 37168 37168
35 588 69 48301 48301
36 837 72 46985 46985
37 485 21 36664 36664
38 743 47 41528 41528
39 458 94 33678 33678
40 744 11 24035 24035
41 599 39 14380 14380
42 735 61 42387 42387
43 572 36 33141 33141
44 152 23 50845 50845
45 425 80 17344 17344
46 517 99 14616 14616
47 751 35 35650 35650
48 169 66 40394 40394
49 492 7 34632 34632
50 700 50 22829 22829
51 148 95 30072 30072
52 142 90 9124 9124
53 693 31 42531 42531
54 427 7 36020 36020
55 966 68 36442 36442
56 154 87 40021 40021
57 821 58 45758 45758
58 192 18 12601 12601
59 817 48 34199 34199
60 156 50 48955 48955
61 732 41 51172 51172
62 280 57 36155 36155
63 682 75 41870 41870
64 722 48 7244 7244
65 123 37 38840 38840
66 834 4 54459 54459
67 517 66 20994 20994
68 426 11 33853 33853
69 949 92 20529 20529
70 549 35 13856 13856
71 472 38 10549 10549
72 847 32 49022 49022
73 456 27 48120 48120
74 982 30 42712 42712
75 739 57 12893 12893
76 196 76 21596 21596
77 839 40 9072 9072
78 501 89 8933 8933
79 28 99 37484 37484
80 573 6 46541 46541
81 531 20 32633 32633
82 843 63 27734 27734
83 657 20 25747 25747
84 842 13 20171 20171
85 110 74 28610 28610
86 314 94 30413 30413
87 286 34 12780 12780
88 141 73 21400 21400
89 834 71 42392 42392
90 600 74 20937 20937
91 253 15 46879 46879
92 2 7 53576 53576
93 806 85 49239 49239
94 211 12 41736 41736
95 553 2 20237 20237
96 114 45 52813 52813
97 752 68 11494 11494
98 543 8 8383 8383
99 437 20 44768 44768
100 696 29 31596 31596
